2283806,2012,266,55,1770668,6657
2283800,2012,576,44,3493430,6065
2283805,2012,742,67,5029629,6778
2283801,2012,547,45,3423496,6259
2283804,2012,376,49,2556705,6800
2510300,2012,9,12,35684,3965
1191900,2012,63,97,336610,5343
212300,2012,1556,87,12364283,7946
2491100,2012,879,90,7357937,8371
2491102,2012,444,90,3743064,8430
1267000,2012,606,76,5175985,8541
644800,2012,82,68,595801,7266
239700,2012,2311,99,24848911,10752
4151700,2012,99,78,751723,7593
195400,2012,1547,59,10968552,7090
3804300,2012,196,65,1679236,8568
376900,2012,1170,8,7244945,6192
974300,2012,4467,65,18980251,4249
663900,2012,191,69,1620289,8483
499900,2012,940,36,5965086,6346
1202600,2012,165,73,1435780,8702
705000,2012,190,60,1688333,8886
2343400,2012,331,53,2580948,7797
291000,2012,1291,76,10595153,8207
994100,2012,1312,64,7931795,6046
347900,2012,3304,66,23139179,7003
383500,2012,977,71,6495747,6649
233600,2012,3023,61,20926962,6923
342000,2012,2983,93,24205543,8114
1025600,2012,1130,57,7755775,6864
176700,2012,2145,56,16512653,7698
3018500,2012,330,67,1701800,5157
215100,2012,358,76,2343121,6545
3409600,2012,255,86,826343,3241
291100,2012,674,92,8059501,11958
368200,2012,423,62,2655679,6278
212400,2012,2133,50,15010291,7037
195500,2012,375,23,1262994,3368
473600,2012,2707,16,13262609,4899
4176300,2012,17,71,197938,11643
1183000,2012,263,76,1156000,4395
2242700,2012,140,2,871523,6225
739400,2012,4065,76,33580414,8261
750200,2012,2887,86,21435169,7425
212600,2012,1856,43,14648819,7893
2253900,2012,860,88,7706242,8961
216700,2012,1486,58,4616574,3107
155400,2012,1067,55,6672589,6254
4181400,2012,7,2,26347,3764
794700,2012,93,3,522382,5617
380800,2012,733,93,5451708,7438
190400,2012,482,77,3505346,7273
233700,2012,490,80,3143434,6415
4153800,2012,9,10,106394,11822
178700,2012,1498,79,11040000,7370
190500,2012,396,76,2978033,7520
348000,2012,3272,76,15682056,4793
905800,2012,2344,68,17013747,7258
3266300,2012,22,9,86500,3932
146700,2012,3310,94,23707858,7162
3076300,2012,434,73,3875290,8929
4148200,2012,14,14,38362,2740
377000,2012,498,26,2912455,5848
199600,2012,1425,27,7501666,5264
112200,2012,3297,77,18118127,5495
101200,2012,666,51,6793451,10200
3668300,2012,54,59,528732,9791
