OPEID,InstitutionName,PublicPrivate
NULL,Athena Career Academy,NULL
100800,Athens State University,NULL
560000,Athens Technical College,public
3740400,ATI College-Norwalk,private
NULL,Atlanta Beauty & Barber Academy,NULL
3104500,Atlanta Institute of Music and Media,private
1216500,Atlanta Metropolitan State College,public
2580200,Atlanta School of Massage,private
854300,Atlanta Technical College,public
3173300,Atlanta's John Marshall Law School,NULL
2234600,Atlantic Beauty & Spa Academy LLC,private
259600,Atlantic Cape Community College,public
3429600,Atlantic Institute of Oriental Medicine,NULL
1226300,Atlantic Technical College,private
2505400,Atlantic University College,private
NULL,Atlantis University,NULL
3468500,ATS Institute of Technology,private
3051400,Auburn Career Center,private
100900,Auburn University,public
831000,Auburn University at Montgomery,public
233400,Augsburg College,private
4021300,Augusta School of Massage,private
559900,Augusta Technical College,public
NULL,Augusta University,NULL
163300,Augustana College,private
345800,Augustana University,private
3727600,Auguste Escoffier School of Culinary Arts-Austin,private
NULL,Auguste Escoffier School of Culinary Arts-Boulder,NULL
648700,Aultman College of Nursing and Health Sciences,private
163400,Aurora University,private
354300,Austin College,private
1201500,Austin Community College District,public
2362800,Austin Graduate School of Theology,NULL
NULL,Austin Kade Academy,NULL
347800,Austin Peay State University,public
354400,Austin Presbyterian Theological Seminary,NULL
737200,Austin's School of Spa Technology,private
2297702,Automeca Technical College-Aguadilla,private
2297700,Automeca Technical College-Bayamon,private
2297701,Automeca Technical College-Caguas,private
3075500,Automeca Technical College-Ponce,private
1162100,Automotive Training Center-Exton,private
1162101,Automotive Training Center-Warminster,private
834300,Autry Technology Center,private
NULL,Avalon School of Cosmetology,NULL
2258600,Avalon School of Cosmetology-Alameda,private
NULL,Avalon School of Cosmetology-Layton,NULL
1085800,Avalon School of Cosmetology-Mesa,private
NULL,Avalon School of Cosmetology-Phoenix,NULL
2519800,Avance Beauty College,private
NULL,Avant Gard The School,NULL
3691400,Ave Maria School of Law,NULL
3941300,Ave Maria University,private
3837300,Aveda Fredric's Institute-Cincinnati,private
NULL,Aveda Fredric's Institute-Indianapolis,NULL
NULL,Aveda Institute Portland-Vancouver Campus,NULL
2258400,Aveda Institute-Baton Rouge,private
NULL,Aveda Institute-Boise,NULL
NULL,Aveda Institute-Chapel Hill,private
NULL,Aveda Institute-Chicago,private
NULL,Aveda Institute-Columbus,private
2600900,Aveda Institute-Covington,private
NULL,Aveda Institute-Denver,NULL
NULL,Aveda Institute-Des Moines,NULL
2117800,Aveda Institute-Lafayette,private
NULL,Aveda Institute-Los Angeles,NULL
NULL,Aveda Institute-Madison,NULL
2123200,Aveda Institute-Minneapolis,private
NULL,Aveda Institute-New Mexico,NULL
3839300,Aveda Institute-New York,private
NULL,Aveda Institute-Phoenix,NULL
NULL,Aveda Institute-Portland,NULL
4072300,Aveda Institute-Provo,private
NULL,Aveda Institute-San Antonio,private
4119400,Aveda Institute-South Florida,private
4134800,Aveda Institute-Tallahassee,private
NULL,Aveda Institute-Tucson,NULL
987300,Aveda Institute-Twin Falls,private
NULL,Avenue Five Institute,NULL
492900,Avera McKennan Hospital School of Radiologic Technology,NULL
598700,Avera Sacred Heart Hospital,NULL
370200,Averett University,private
003702A1  ,Averett University-Non-Traditional Programs,private
4038400,Avi Career Training,private
NULL,Aviation Institute of Maintenance,NULL
3523300,Aviation Institute of Maintenance-Atlanta,private
3126300,Aviation Institute of Maintenance-Chesapeake,private
3573300,Aviation Institute of Maintenance-Dallas,private
2596412,Aviation Institute of Maintenance-Houston,private
3176300,Aviation Institute of Maintenance-Indianapolis,private
3616300,Aviation Institute of Maintenance-Kansas City,private
NULL,Aviation Institute of Maintenance-Las Vegas,NULL
3883400,Aviation Institute of Maintenance-Manassas,private
NULL,Aviation Institute of Maintenance-Orlando,NULL
3110700,Aviation Institute of Maintenance-Philadelphia,private
3986300,Aviator College of Aeronautical Science and Technology,private
244900,Avila University,private
3160300,AVTEC-Alaska's Institute of Technology,private
826300,Award Beauty School,private
462100,Ayers Career College,private
111700,Azusa Pacific University,private
NULL,Azusa Pacific University College,NULL
1235900,B M Spurr School of Practical Nursing,private
212100,Babson College,private
314700,Bacone College,private
1107400,Bainbridge State College,public
NULL,Bais HaMedrash and Mesivta of Baltimore,NULL
2622900,Bais Medrash Elyon,private
4081300,Bais Medrash Toras Chesed,private
467300,Baker College,private
467313,Baker College Center for Graduate Studies,private
467317,Baker College of Allen Park,private
467305,Baker College of Auburn Hills,private
467301,Baker College of Cadillac,private
467302,Baker College of Clinton Township,private
467309,Baker College of Jackson,private
467303,Baker College of Muskegon,private
467304,Baker College of Owosso,private
467306,Baker College of Port Huron,private
190300,Baker University,private
111800,Bakersfield College,public
NULL,Bakke Graduate University,NULL
1226801,Baldwin Beauty School-North Austin,private
1226800,Baldwin Beauty School-South Austin,private
3067400,Baldwin Park Adult & Community Education,NULL
301400,Baldwin Wallace University,private
178600,Ball State University,public
206100,Baltimore City Community College,public
3296300,Baltimore School of Massage-Linthicum,private
NULL,Baltimore School of Massage-York,NULL
2494700,Baltimore Studio of Hair Design,private
2337400,Bancroft School of Massage Therapy,private
266900,Bank Street College of Education,NULL
1320800,Baptist Bible College,private
3105200,Baptist Health College-Little Rock,private
NULL,Baptist Health System School of Health Professions,private
3440300,Baptist Memorial College of Health Sciences,private
2331200,Baptist Missionary Association Theological Seminary,NULL
3116900,Baptist Theological Seminary at Richmond,NULL
3733300,Baptist University of the Americas,private
3010700,Bar Palma Beauty Careers Academy,private
NULL,Barber Institute of Texas,NULL
NULL,Barber School of Pittsburgh,NULL
191700,Barclay College,private
267100,Bard College,private
964500,Bard College at Simon's Rock,private
270800,Barnard College,private
638900,Barnes-Jewish College Goldfarb School of Nursing,NULL
NULL,Barone Beauty Academy,NULL
2518900,Barrett and Company School of Hair Design,private
146600,Barry University,private
111900,Barstow Community College,public
290800,Barton College,private
460800,Barton County Community College,public
2242500,Bastyr University,NULL
203600,Bates College,private
530600,Bates Technical College,public
3730300,Baton Rouge Community College,public
2335701,Baton Rouge General Medical Center-School of Nursing,private
2335702,Baton Rouge General Medical Center-School of Radiologic Technology,private
2197500,Baton Rouge School of Computers,private
1157400,Bauder College,private
NULL,Bay Area College of Nursing,NULL
NULL,Bay Area Medical Academy,NULL
224000,Bay de Noc Community College,public
3066600,Bay Mills Community College,public
212200,Bay Path University,private
396500,Bay State College,private
2338200,Bay State School of Technology,private
3758300,Bayamon Community College,private
494900,Baylor College of Medicine,NULL
354500,Baylor University,private
2285700,Bayshire Academy of Beauty Craft Inc,private
NULL,Be'er Yaakov Talmudic Seminary,NULL
3373300,Beacon College,private
520400,Beal College,private
2154400,Beau Monde College of Hair Design,private
NULL,Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,NULL
855800,Beaufort County Community College,public
