30071,2012,11,71,15.4,B
1501,2012,54,350,15.4,A
5467,2012,22,94,23.4,A
5488,2012,22,96,22.9,P
9684,2012,22,104,21.1,A
25295,2012,41,146,28,A
41245,2012,15,85,17.6,A
10507,2012,16,52,30.7,A
11622,2012,8,50,16,P
4852,2012,534,2108,25.3,A
8080,2012,344,1315,26.1,A
3992,2012,309,1239,24.9,A
11830,2012,35,146,23.9,A
11810,2012,26,147,17.6,A
25860,2012,16,61,26.2,A
4503,2012,292,1572,18.5,A
3995,2012,253,1027,24.6,A
23067,2012,26,125,20.8,A
5359,2012,55,222,24.7,A
2417,2012,306,1249,24.4,P
3153,2012,177,719,24.6,A
22202,2012,113,453,24.9,A
9903,2012,17,47,36.1,A
7600,2012,20,126,15.8,A
7756,2012,20,87,22.9,A
25049,2012,14,59,23.7,A
7690,2012,109,506,21.5,A
2407,2012,1217,5120,23.7,P
3593,2012,713,3133,22.7,A
1085,2012,320,1284,24.9,P
8133,2012,308,1237,24.8,A
9767,2012,29,210,13.8,A
3455,2012,62,285,21.7,A
41210,2012,18,93,19.3,A
8081,2012,63,229,27.5,A
30020,2012,11,40,27.5,A
22697,2012,9,38,23.6,A
5424,2012,14,55,25.4,A
25731,2012,10,41,24.3,B
1533,2012,924,3953,23.3,A
22023,2012,283,1269,22.3,A
4467,2012,125,530,23.5,A
1862,2012,105,444,23.6,A
3176,2012,80,343,23.3,A
4855,2012,70,335,20.8,A
5204,2012,70,319,21.9,A
8558,2012,20,71,28.1,A
8466,2012,48,177,27.1,A
36833,2012,30,119,25.2,A
22050,2012,16,64,25,A
41523,2012,23,85,27,A
4057,2012,1194,5778,20.6,A
22838,2012,499,2013,24.7,A
10182,2012,250,1018,24.5,A
1307,2012,283,953,29.6,A
25587,2012,161,698,23,A
12261,2012,107,468,22.8,P
1176,2012,49,168,29.1,P
38563,2012,22,93,23.6,A
5594,2012,8,33,24.2,A
6775,2012,38,113,33.6,A
41190,2012,16,45,35.5,A
37873,2012,33,138,23.9,A
37013,2012,35,83,42.1,A
2267,2012,1399,5671,24.6,A
23058,2012,1053,4942,21.3,P
9542,2012,1023,3660,27.9,A
7283,2012,206,841,24.4,A
9054,2012,265,918,28.8,P
23154,2012,76,267,28.4,A
35373,2012,70,328,21.3,A
9043,2012,85,433,19.6,A
8557,2012,16,67,23.8,A
41691,2012,4,22,18.1,B
3116,2012,209,1020,20.4,A
10851,2012,180,1093,16.4,A
3160,2012,152,690,22,A
3782,2012,225,884,25.4,A
30300,2012,12,29,41.3,B
25454,2012,147,586,25,A
3568,2012,60,227,26.4,A
1623,2012,413,1894,21.8,A
8403,2012,506,2053,24.6,P
3572,2012,223,948,23.5,A
1994,2012,165,807,20.4,A
7684,2012,129,676,19,A
22305,2012,168,646,26,A
1478,2012,90,381,23.6,A
9022,2012,117,436,26.8,A
31033,2012,11,57,19.2,A
41312,2012,5,30,16.6,A
3990,2012,300,1358,22,A
5320,2012,328,1473,22.2,A
12891,2012,222,1230,18,A
10503,2012,236,1162,20.3,A
3155,2012,90,347,25.9,A
1187,2012,100,352,28.4,A
38123,2012,88,338,26,A
41476,2012,20,90,22.2,A
30830,2012,781,3692,21.1,A
20554,2012,363,1711,21.2,A
3828,2012,320,1140,28,A
25681,2012,229,982,23.3,A
6799,2012,32,226,14.1,A
22579,2012,46,204,22.5,A
2655,2012,64,226,28.3,A
13132,2012,21,80,26.2,A
20997,2012,258,1357,19,A
1087,2012,249,979,25.4,A
1185,2012,112,469,23.8,A
22977,2012,81,352,23,P
1650,2012,14,139,10,A
30118,2012,7,35,20,A
3121,2012,813,3302,24.6,A
20746,2012,80,412,19.4,P
21211,2012,53,213,24.8,A
39163,2012,20,88,22.7,A
25799,2012,18,84,21.4,A
12811,2012,9,49,18.3,A
9917,2012,8855,39271,22.5,P
5753,2012,1840,6992,26.3,A
8073,2012,348,1372,25.3,P
11647,2012,299,1207,24.7,P
3577,2012,84,363,23.1,A
34095,2012,82,339,24.1,A
41493,2012,27,124,21.7,A
1182,2012,27,151,17.8,A
22586,2012,23,137,16.7,A
5316,2012,9,19,47.3,P
9873,2012,19,81,23.4,B
41779,2012,3,14,21.4,B
21775,2012,2369,7899,29.9,A
5244,2012,1172,4869,24,P
25919,2012,237,1095,21.6,A
40414,2012,236,972,24.2,A
4009,2012,115,491,23.4,A
1908,2012,26,158,16.4,A
23566,2012,16,113,14.1,A
30791,2012,11,54,20.3,B
21785,2012,173,880,19.6,A
20522,2012,176,724,24.3,A
31150,2012,144,696,20.6,A
9336,2012,96,432,22.2,A
7436,2012,181,688,26.3,A
5318,2012,90,373,24.1,A
9077,2012,60,295,20.3,A
1355,2012,38,255,14.9,A
9828,2012,1692,9420,17.9,P
3648,2012,748,3388,22,P
23328,2012,538,2179,24.6,A
9079,2012,456,2350,19.4,A
22506,2012,475,2286,20.7,P
1592,2012,210,986,21.2,P
13005,2012,258,1047,24.6,A
2867,2012,164,807,20.3,A
2968,2012,162,694,23.3,A
1079,2012,131,563,23.2,A
22515,2012,46,156,29.4,A
1190,2012,39,154,25.3,A
1267,2012,36,128,28.1,A
40363,2012,8,48,16.6,A
24978,2012,13,65,20,A
31037,2012,13,67,19.4,B
41386,2012,7,35,20,B
33294,2012,11,46,23.9,B
41887,2012,0,1,0,B
3218,2012,712,3046,23.3,A
23001,2012,344,2283,15,A
1007,2012,144,656,21.9,P
25349,2012,132,645,20.4,A
38425,2012,22,103,21.3,A
5752,2012,190,1131,16.7,A
3801,2012,156,694,22.4,A
1289,2012,85,441,19.2,A
25171,2012,13,80,16.2,A
3204,2012,430,2115,20.3,A
7598,2012,699,2958,23.6,A
2402,2012,189,751,25.1,A
1334,2012,74,406,18.2,A
1217,2012,43,133,32.3,A
5430,2012,6,31,19.3,A
34453,2012,17,54,31.4,A
39696,2012,177,1118,15.8,A
7640,2012,393,1761,22.3,A
7678,2012,134,796,16.8,A
11220,2012,73,372,19.6,A
3189,2012,40,274,14.5,A
