OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
143400,2011,27022,27345,29943,34388,37928
3225300,2011,59962,63028,NULL,66045,NULL
1194101,2011,8981,10372,12487,NULL,NULL
1194100,2011,9095,9936,11552,NULL,NULL
2270802,2011,26428,26962,28194,32648,33315
2270800,2011,12530,11300,13715,14619,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
211500,2011,448,929,963,3256,27120
2503400,2011,NULL,4422,NULL,NULL,NULL
182300,2011,NULL,NULL,NULL,NULL,NULL
178400,2011,11671,11674,15007,19042,18680
178500,2011,17416,18404,19792,21448,22770
341800,2011,13920,14710,15148,17661,17868
211600,2011,NULL,NULL,NULL,NULL,NULL
154500,2011,13153,13720,15204,17314,18114
223800,2011,14565,13398,17448,20027,22352
4160400,2011,12895,17443,13343,NULL,NULL
4164400,2011,17220,16945,18143,20724,20724
666100,2011,5355,5370,5408,NULL,NULL
354100,2011,7878,9428,13206,14996,15540
211700,2011,18133,17825,23179,26117,29261
205800,2011,10375,11269,13559,14754,15444
NULL,2011,NULL,NULL,NULL,NULL,NULL
735000,2011,13929,14341,16787,18637,18345
233200,2011,10443,10996,13647,14913,15042
111300,2011,6266,NULL,NULL,NULL,NULL
2234900,2011,4027,4179,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
301002,2011,NULL,NULL,NULL,NULL,NULL
301000,2011,NULL,NULL,NULL,NULL,NULL
301004,2011,NULL,NULL,NULL,NULL,NULL
301003,2011,NULL,NULL,NULL,NULL,NULL
301005,2011,24074,28420,28487,32820,32987
003010A1  ,2011,NULL,NULL,NULL,NULL,NULL
1289100,2011,19541,19514,16263,22813,NULL
1289102,2011,21974,23469,20035,25885,NULL
1289101,2011,21403,23539,25289,NULL,NULL
743000,2011,23720,24893,28377,31830,32140
3067000,2011,15490,16335,18845,19845,20034
3156400,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
961200,2011,3684,5234,NULL,NULL,NULL
3513400,2011,8718,8718,NULL,NULL,NULL
751800,2011,19023,19453,21760,14680,22680
2562300,2011,14275,15463,NULL,NULL,NULL
2159100,2011,8952,NULL,NULL,NULL,NULL
754400,2011,11857,11242,15749,13224,3370
-2,2011,NULL,NULL,NULL,NULL,NULL
3559300,2011,NULL,NULL,NULL,NULL,NULL
290600,2011,4931,6346,9375,14197,15131
3068600,2011,13831,NULL,NULL,NULL,NULL
223900,2011,10616,11016,12168,12217,NULL
347700,2011,14540,17493,26845,21920,21082
163200,2011,NULL,NULL,NULL,NULL,NULL
134600,2011,7246,8025,11485,13148,13119
323500,2011,19375,21300,23486,24741,28209
2179902,2011,23366,NULL,26372,NULL,26372
2179900,2011,22058,22379,25424,NULL,25924
2179919,2011,23620,NULL,NULL,NULL,NULL
021799A2  ,2011,21590,NULL,24042,NULL,NULL
2179905,2011,23134,NULL,NULL,NULL,NULL
2179932,2011,19936,NULL,NULL,NULL,NULL
2179928,2011,21761,23149,NULL,NULL,NULL
2179914,2011,20454,20773,25311,NULL,NULL
2179916,2011,NULL,NULL,NULL,NULL,NULL
2179907,2011,20374,NULL,NULL,NULL,NULL
2179907,2011,36432,37230,39607,27345,40970
2179935,2011,20861,23496,22846,NULL,NULL
2179929,2011,NULL,21972,NULL,NULL,NULL
2179908,2011,21618,26372,NULL,NULL,NULL
2179918,2011,22210,NULL,NULL,NULL,NULL
2179921,2011,22524,21403,NULL,NULL,25603
2179913,2011,20374,NULL,NULL,NULL,25924
2179909,2011,23597,NULL,NULL,NULL,NULL
3125400,2011,25945,26740,29997,32446,32446
1647100,2011,25151,26462,29570,31319,31412
723600,2011,23768,24882,28909,32006,32272
723603,2011,19995,22378,23660,25581,26829
007236A3  ,2011,23760,23986,26550,29612,28810
2327600,2011,23929,23866,26864,29240,30083
723602,2011,26379,26224,29953,31274,32571
3125401,2011,24416,25353,28084,30694,31294
2179901,2011,21045,21279,24217,25269,25408
2179903,2011,21516,NULL,NULL,NULL,NULL
972300,2011,11786,12686,14811,NULL,NULL
886400,2011,NULL,NULL,NULL,NULL,NULL
1180200,2011,NULL,NULL,NULL,NULL,NULL
1084700,2011,23823,24160,27704,28517,28517
001083A1  ,2011,NULL,NULL,NULL,NULL,NULL
711300,2011,24830,20768,22086,22820,25926
NULL,2011,NULL,NULL,NULL,NULL,NULL
3115000,2011,18749,20062,20899,21657,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
4120900,2011,33252,34999,36047,37932,37691
3695500,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
108100,2011,6673,7644,10970,14092,15602
NULL,2011,NULL,NULL,NULL,NULL,NULL
4131400,2011,NULL,NULL,NULL,NULL,NULL
107100,2011,8307,9104,10308,11491,8676
108700,2011,14184,15942,17769,18759,18140
3997300,2011,6188,7779,NULL,11441,NULL
3005100,2011,6038,NULL,NULL,NULL,NULL
3023400,2011,14713,16914,NULL,NULL,19689
1286000,2011,6618,7459,9215,NULL,NULL
2348200,2011,8759,2776,6051,-7386,NULL
109100,2011,3288,4282,7102,9101,9385
109000,2011,7437,8125,10349,11340,11571
109003,2011,12549,12541,14211,NULL,NULL
109002,2011,3540,4510,5431,1521,4365
001090A1  ,2011,NULL,NULL,NULL,NULL,NULL
108900,2011,7550,7448,9812,10269,10806
2081400,2011,16351,17708,18175,19157,18062
2521200,2011,19319,19879,20484,NULL,NULL
3159300,2011,19550,19606,19644,NULL,NULL
154600,2011,8895,10377,12345,13882,14180
2257400,2011,14689,14336,18491,18491,NULL
643500,2011,12687,16577,14965,19061,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
301100,2011,13883,14083,19062,18173,21619
111600,2011,31433,37349,37067,44566,46719
2363500,2011,6545,NULL,NULL,NULL,NULL
2538500,2011,9173,NULL,NULL,NULL,NULL
2538502,2011,9018,NULL,NULL,NULL,NULL
2525900,2011,20046,NULL,NULL,NULL,NULL
NULL,2011,11215,10891,NULL,NULL,NULL
3816300,2011,11886,12656,12326,15053,NULL
3095500,2011,19820,20185,22807,25774,26514
195300,2011,NULL,NULL,NULL,NULL,NULL
195200,2011,16885,17716,22603,24450,27784
4057300,2011,16443,NULL,NULL,NULL,NULL
403300,2011,10456,10948,11567,14819,14619
188100,2011,18468,18501,15518,12934,12868
199000,2011,5687,5626,8192,9733,9985
3117000,2011,12180,10607,14816,NULL,NULL
301200,2011,18959,18843,21251,22735,26341
2187900,2011,12352,13965,11361,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
2595600,2011,-2614,-2614,NULL,NULL,NULL
3012300,2011,6736,NULL,NULL,NULL,NULL
1115000,2011,5597,5776,5857,8328,10667
NULL,2011,NULL,NULL,NULL,NULL,NULL
4080300,2011,NULL,NULL,NULL,NULL,NULL
2169900,2011,19571,NULL,NULL,NULL,NULL
1212000,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
2506000,2011,12331,17760,12816,NULL,NULL
902200,2011,13515,15696,16432,17732,NULL
2553500,2011,19906,20640,NULL,NULL,NULL
211800,2011,16729,21833,21859,25583,29072
4152700,2011,5658,5658,5658,5658,NULL
3906300,2011,14789,14789,NULL,NULL,NULL
4038300,2011,25437,NULL,NULL,NULL,NULL
NULL,2011,11922,13294,14619,14988,NULL
3544300,2011,5413,6745,10152,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
100800,2011,NULL,NULL,NULL,NULL,NULL
560000,2011,4269,5147,7000,7585,NULL
3740400,2011,18980,21251,NULL,NULL,NULL
4160200,2011,5470,NULL,NULL,NULL,NULL
3104500,2011,26738,28335,32288,32288,32288
1216500,2011,9228,NULL,NULL,NULL,NULL
2580200,2011,17713,17424,18657,23007,23007
854300,2011,5424,6110,7566,NULL,NULL
