OPEID,InstitutionName,PublicPrivate
2270800,AMERITECH COLLEGE-PROVO,PRIVATE
211500,AMHERST COLLEGE,PRIVATE
2503400,AMRIDGE UNIVERSITY,PRIVATE
182300,ANABAPTIST MENNONITE BIBLICAL SEMINARY,NULL
178400,ANCILLA COLLEGE,PRIVATE
178500,ANDERSON UNIVERSITY,PRIVATE
341800,ANDERSON UNIVERSITY,PRIVATE
211600,ANDOVER NEWTON THEOLOGICAL SCHOOL,NULL
154500,ANDREW COLLEGE,PRIVATE
223800,ANDREWS UNIVERSITY,PRIVATE
666100,ANGELINA COLLEGE,PUBLIC
354100,ANGELO STATE UNIVERSITY,PUBLIC
211700,ANNA MARIA COLLEGE,PRIVATE
205800,ANNE ARUNDEL COMMUNITY COLLEGE,PUBLIC
735000,ANOKA TECHNICAL COLLEGE,PUBLIC
233200,ANOKA-RAMSEY COMMUNITY COLLEGE,PUBLIC
111300,ANTELOPE VALLEY COLLEGE,PUBLIC
2234900,ANTILLES SCHOOL OF TECHNICAL CAREERS,PRIVATE
301002,ANTIOCH UNIVERSITY-LOS ANGELES,NULL
301000,ANTIOCH UNIVERSITY-MIDWEST,NULL
301004,ANTIOCH UNIVERSITY-NEW ENGLAND,NULL
301003,ANTIOCH UNIVERSITY-SANTA BARBARA,NULL
301005,ANTIOCH UNIVERSITY-SEATTLE,PRIVATE
1289100,ANTONELLI COLLEGE-CINCINNATI,PRIVATE
1289102,ANTONELLI COLLEGE-HATTIESBURG,PRIVATE
1289101,ANTONELLI COLLEGE-JACKSON,PRIVATE
743000,ANTONELLI INSTITUTE,PRIVATE
3067000,ANTONELLI MEDICAL AND PROFESSIONAL INSTITUTE,PRIVATE
3156400,AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE,NULL
961200,APEX ACADEMY OF HAIR DESIGN INC,PRIVATE
3513400,APEX SCHOOL OF THEOLOGY,PRIVATE
751800,APEX TECHNICAL SCHOOL,PRIVATE
2562300,APOLLO CAREER CENTER,PRIVATE
2159100,APPALACHIAN BEAUTY SCHOOL,PRIVATE
754400,APPALACHIAN BIBLE COLLEGE,PRIVATE
3559300,APPALACHIAN SCHOOL OF LAW,NULL
290600,APPALACHIAN STATE UNIVERSITY,PUBLIC
3068600,APPLIED TECHNOLOGY SERVICES,PRIVATE
223900,AQUINAS COLLEGE,PRIVATE
347700,AQUINAS COLLEGE,PRIVATE
163200,AQUINAS INSTITUTE OF THEOLOGY,NULL
134600,ARAPAHOE COMMUNITY COLLEGE,PUBLIC
323500,ARCADIA UNIVERSITY,PRIVATE
2179902,ARGOSY UNIVERSITY-ATLANTA,NULL
2179900,ARGOSY UNIVERSITY-CHICAGO,PRIVATE
2179919,ARGOSY UNIVERSITY-DALLAS,NULL
2179905,ARGOSY UNIVERSITY-HAWAII,PRIVATE
2179932,ARGOSY UNIVERSITY-INLAND EMPIRE,NULL
2179928,ARGOSY UNIVERSITY-LOS ANGELES,PRIVATE
2179914,ARGOSY UNIVERSITY-NASHVILLE,NULL
2179916,ARGOSY UNIVERSITY-ORANGE COUNTY,NULL
2179907,ARGOSY UNIVERSITY-PHOENIX,NULL
2179935,ARGOSY UNIVERSITY-SALT LAKE CITY,PRIVATE
2179929,ARGOSY UNIVERSITY-SAN DIEGO,NULL
2179908,ARGOSY UNIVERSITY-SAN FRANCISCO BAY AREA,NULL
2179918,ARGOSY UNIVERSITY-SARASOTA,NULL
2179921,ARGOSY UNIVERSITY-SCHAUMBURG,NULL
2179913,ARGOSY UNIVERSITY-SEATTLE,PRIVATE
2179909,ARGOSY UNIVERSITY-TAMPA,PRIVATE
3125400,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-HOLLYWOOD,PRIVATE
1647100,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-INLAND EMPIRE,PRIVATE
723600,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-LOS ANGELES,PRIVATE
723603,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-ORANGE COUNTY,PRIVATE
2327600,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SAN DIEGO,PRIVATE
723602,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SAN FRANCISCO,PRIVATE
3125401,ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SILICON VALLEY,PRIVATE
2179901,ARGOSY UNIVERSITY-TWIN CITIES,PRIVATE
2179903,ARGOSY UNIVERSITY-WASHINGTON DC,NULL
972300,ARIA HEALTH SCHOOL OF NURSING,PRIVATE
886400,ARIZONA ACADEMY OF BEAUTY-EAST,PRIVATE
1180200,ARIZONA ACADEMY OF BEAUTY-NORTH,PRIVATE
1084700,ARIZONA AUTOMOTIVE INSTITUTE,PRIVATE
711300,ARIZONA CHRISTIAN UNIVERSITY,PRIVATE
3115000,ARIZONA COLLEGE-GLENDALE,PRIVATE
4120900,ARIZONA CULINARY INSTITUTE,PRIVATE
3695500,ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE,NULL
108102,ARIZONA STATE UNIVERSITY-POLYTECHNIC,NULL
108100,ARIZONA STATE UNIVERSITY-TEMPE,PUBLIC
108101,ARIZONA STATE UNIVERSITY-WEST,NULL
4131400,ARIZONA SUMMIT LAW SCHOOL,NULL
107100,ARIZONA WESTERN COLLEGE,PUBLIC
108700,ARKANSAS BAPTIST COLLEGE,PRIVATE
3997300,ARKANSAS BEAUTY COLLEGE,PRIVATE
3005100,ARKANSAS BEAUTY SCHOOL-LITTLE ROCK,PRIVATE
3023400,ARKANSAS COLLEGE OF BARBERING AND HAIR DESIGN,PRIVATE
1286000,ARKANSAS NORTHEASTERN COLLEGE,PUBLIC
2348200,ARKANSAS STATE UNIVERSITY MID-SOUTH,PUBLIC
109100,ARKANSAS STATE UNIVERSITY-BEEBE,PUBLIC
109000,ARKANSAS STATE UNIVERSITY-MAIN CAMPUS,PUBLIC
109003,ARKANSAS STATE UNIVERSITY-MOUNTAIN HOME,PUBLIC
109002,ARKANSAS STATE UNIVERSITY-NEWPORT,PUBLIC
108900,ARKANSAS TECH UNIVERSITY,PUBLIC
2081400,ARLINGTON BAPTIST COLLEGE,PRIVATE
2521200,ARLINGTON CAREER INSTITUTE,PRIVATE
3159300,ARLINGTON MEDICAL INSTITUTE,PRIVATE
154600,ARMSTRONG STATE UNIVERSITY,PUBLIC
2257400,ARNOLDS BEAUTY SCHOOL,PRIVATE
643500,ARNOT OGDEN MEDICAL CENTER,PRIVATE
301100,ART ACADEMY OF CINCINNATI,PRIVATE
111600,ART CENTER COLLEGE OF DESIGN,PRIVATE
2363500,ARTHUR''S BEAUTY COLLEGE INC-FORT SMITH,PRIVATE
2538500,ARTHUR''S BEAUTY COLLEGE INC-JACKSONVILLE,PRIVATE
2538502,ARTHUR''S BEAUTY SCHOOL INC-CONWAY,PRIVATE
2525900,ARTISTIC ACADEMY OF HAIR DESIGN,PRIVATE
3816300,ARTISTIC NAILS AND BEAUTY ACADEMY-TAMPA,PRIVATE
3095500,ASA COLLEGE,PRIVATE
195300,ASBURY THEOLOGICAL SEMINARY,NULL
195200,ASBURY UNIVERSITY,PRIVATE
4057300,ASHER COLLEGE,PRIVATE
403300,ASHEVILLE-BUNCOMBE TECHNICAL COMMUNITY COLLEGE,PUBLIC
188100,ASHFORD UNIVERSITY,PRIVATE
199000,ASHLAND COMMUNITY AND TECHNICAL COLLEGE,PUBLIC
3117000,ASHLAND COUNTY-WEST HOLMES CAREER CENTER,PRIVATE
301200,ASHLAND UNIVERSITY,PRIVATE
2187900,ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS,PRIVATE
2595600,ASIAN AMERICAN INTERNATIONAL BEAUTY COLLEGE,PRIVATE
3012300,ASM BEAUTY WORLD ACADEMY,PRIVATE
1115000,ASNUNTUCK COMMUNITY COLLEGE,PUBLIC
1212000,ASSEMBLIES OF GOD THEOLOGICAL SEMINARY,NULL
2506000,ASSOCIATED BETH RIVKAH SCHOOLS,PRIVATE
902200,ASSOCIATED TECHNICAL COLLEGE-LOS ANGELES,PRIVATE
2553500,ASSOCIATED TECHNICAL COLLEGE-SAN DIEGO,PRIVATE
211800,ASSUMPTION COLLEGE,PRIVATE
3906300,ATA CAREER EDUCATION,PRIVATE
4038300,ATA COLLEGE,PRIVATE
3544300,ATENAS COLLEGE,PRIVATE
100800,ATHENS STATE UNIVERSITY,NULL
560000,ATHENS TECHNICAL COLLEGE,PUBLIC
3740400,ATI COLLEGE-NORWALK,PRIVATE
3104500,ATLANTA INSTITUTE OF MUSIC AND MEDIA,PRIVATE
