OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
190400,2010,"75,001 TO 110,000",17075
233700,2010,"75,001 TO 110,000",20027
178700,2010,"75,001 TO 110,000",21538
190500,2010,"75,001 TO 110,000",16637
348000,2010,"75,001 TO 110,000",18252
905800,2010,"75,001 TO 110,000",23498
146700,2010,"75,001 TO 110,000",19893
3076300,2010,"75,001 TO 110,000",11846
573300,2010,"75,001 TO 110,000",10050
377000,2010,"75,001 TO 110,000",12604
199600,2010,"75,001 TO 110,000",9568
112200,2010,"75,001 TO 110,000",35840
101200,2010,"75,001 TO 110,000",19734
298800,2010,"75,001 TO 110,000",10223
163800,2010,"75,001 TO 110,000",8927
2137100,2010,"75,001 TO 110,000",18060
345900,2010,"75,001 TO 110,000",15133
539000,2010,"75,001 TO 110,000",11818
798700,2010,"75,001 TO 110,000",6105
4003300,2010,"75,001 TO 110,000",48880
354900,2010,"75,001 TO 110,000",9796
259700,2010,"75,001 TO 110,000",21573
331500,2010,"75,001 TO 110,000",18566
3422501,2010,"75,001 TO 110,000",24851
3294301,2010,"75,001 TO 110,000",23149
3294300,2010,"75,001 TO 110,000",22217
239800,2010,"75,001 TO 110,000",10160
318600,2010,"75,001 TO 110,000",11047
3957300,2010,"75,001 TO 110,000",12642
681900,2010,"75,001 TO 110,000",9837
3925300,2010,"75,001 TO 110,000",22220
370300,2010,"75,001 TO 110,000",17182
380900,2010,"75,001 TO 110,000",11665
524400,2010,"75,001 TO 110,000",11077
301600,2010,"75,001 TO 110,000",22831
2234500,2010,"75,001 TO 110,000",15233
161600,2010,"75,001 TO 110,000",13147
3763400,2010,"75,001 TO 110,000",15348
1004300,2010,"75,001 TO 110,000",24888
2055400,2010,"75,001 TO 110,000",6400
396600,2010,"75,001 TO 110,000",26948
3248300,2010,"75,001 TO 110,000",17720
212800,2010,"75,001 TO 110,000",28222
213000,2010,"75,001 TO 110,000",30195
203800,2010,"75,001 TO 110,000",18593
206200,2010,"75,001 TO 110,000",16624
301801,2010,"75,001 TO 110,000",13500
301800,2010,"75,001 TO 110,000",17516
485300,2010,"75,001 TO 110,000",25879
972100,2010,"75,001 TO 110,000",24375
164100,2010,"75,001 TO 110,000",24229
2106800,2010,"75,001 TO 110,000",15168
213300,2010,"75,001 TO 110,000",26772
2074004,2010,"75,001 TO 110,000",20168
2074000,2010,"75,001 TO 110,000",26433
1085101,2010,"75,001 TO 110,000",28332
1085102,2010,"75,001 TO 110,000",28089
1085100,2010,"75,001 TO 110,000",41556
2074002,2010,"75,001 TO 110,000",26378
2074003,2010,"75,001 TO 110,000",20835
2074001,2010,"75,001 TO 110,000",26928
728700,2010,"75,001 TO 110,000",8983
155600,2010,"75,001 TO 110,000",15933
195800,2010,"75,001 TO 110,000",12306
291200,2010,"75,001 TO 110,000",19693
2075700,2010,"75,001 TO 110,000",28806
370400,2010,"75,001 TO 110,000",20686
218300,2010,"75,001 TO 110,000",15679
160600,2010,"75,001 TO 110,000",11471
162500,2010,"75,001 TO 110,000",7992
367000,2010,"75,001 TO 110,000",14385
778100,2010,"75,001 TO 110,000",27054
491000,2010,"75,001 TO 110,000",27693
491001,2010,"75,001 TO 110,000",27153
2289800,2010,"75,001 TO 110,000",34176
743600,2010,"75,001 TO 110,000",39348
2351901,2010,"75,001 TO 110,000",25875
749100,2010,"75,001 TO 110,000",28665
3115803,2010,"75,001 TO 110,000",27513
2083600,2010,"75,001 TO 110,000",36372
3272300,2010,"75,001 TO 110,000",27180
2052000,2010,"75,001 TO 110,000",29196
2591900,2010,"75,001 TO 110,000",27747
946610,2010,"75,001 TO 110,000",26793
2306302,2010,"75,001 TO 110,000",26424
2312202,2010,"75,001 TO 110,000",28287
2201802,2010,"75,001 TO 110,000",26919
2312200,2010,"75,001 TO 110,000",27171
3115802,2010,"75,001 TO 110,000",26901
3043200,2010,"75,001 TO 110,000",26415
946607,2010,"75,001 TO 110,000",26568
2306300,2010,"75,001 TO 110,000",23445
2326200,2010,"75,001 TO 110,000",28053
2539100,2010,"75,001 TO 110,000",22491
2549005,2010,"75,001 TO 110,000",22473
2539102,2010,"75,001 TO 110,000",23355
2351900,2010,"75,001 TO 110,000",24984
3115800,2010,"75,001 TO 110,000",43512
946600,2010,"75,001 TO 110,000",27810
2091700,2010,"75,001 TO 110,000",75348
1041000,2010,"75,001 TO 110,000",27126
2549000,2010,"75,001 TO 110,000",23544
217600,2010,"75,001 TO 110,000",7593
928400,2010,"75,001 TO 110,000",19920
