OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
3115000,2010,"0 TO 30,000",19104
4120900,2010,"0 TO 30,000",32675
108100,2010,"0 TO 30,000",4529
107100,2010,"0 TO 30,000",7750
108700,2010,"0 TO 30,000",15373
3997300,2010,"0 TO 30,000",7848
3005100,2010,"0 TO 30,000",11341
3023400,2010,"0 TO 30,000",23100
1286000,2010,"0 TO 30,000",11410
2348200,2010,"0 TO 30,000",7290
109100,2010,"0 TO 30,000",3529
109000,2010,"0 TO 30,000",9783
109003,2010,"0 TO 30,000",12108
109002,2010,"0 TO 30,000",4997
108900,2010,"0 TO 30,000",6582
2081400,2010,"0 TO 30,000",16622
2521200,2010,"0 TO 30,000",20244
3159300,2010,"0 TO 30,000",18099
154600,2010,"0 TO 30,000",10437
2257400,2010,"0 TO 30,000",23256
643500,2010,"0 TO 30,000",33120
301100,2010,"0 TO 30,000",11576
111600,2010,"0 TO 30,000",31398
2363500,2010,"0 TO 30,000",16968
2538500,2010,"0 TO 30,000",16260
2538502,2010,"0 TO 30,000",16440
2525900,2010,"0 TO 30,000",15996
3816300,2010,"0 TO 30,000",16596
3095500,2010,"0 TO 30,000",18725
195200,2010,"0 TO 30,000",17095
4057300,2010,"0 TO 30,000",17388
403300,2010,"0 TO 30,000",7715
188100,2010,"0 TO 30,000",20136
199000,2010,"0 TO 30,000",3976
3117000,2010,"0 TO 30,000",12810
301200,2010,"0 TO 30,000",17501
2187900,2010,"0 TO 30,000",17724
2595600,2010,"0 TO 30,000",688
3012300,2010,"0 TO 30,000",10008
1115000,2010,"0 TO 30,000",5206
2506000,2010,"0 TO 30,000",11362
902200,2010,"0 TO 30,000",15448
2553500,2010,"0 TO 30,000",16597
211800,2010,"0 TO 30,000",30359
4152700,2010,"0 TO 30,000",5400
3906300,2010,"0 TO 30,000",20244
4038300,2010,"0 TO 30,000",24181
3544300,2010,"0 TO 30,000",5223
560000,2010,"0 TO 30,000",4812
3740400,2010,"0 TO 30,000",29918
3104500,2010,"0 TO 30,000",35292
1216500,2010,"0 TO 30,000",7083
2580200,2010,"0 TO 30,000",30680
854300,2010,"0 TO 30,000",4375
2234600,2010,"0 TO 30,000",29640
259600,2010,"0 TO 30,000",10478
1226300,2010,"0 TO 30,000",10404
2505400,2010,"0 TO 30,000",4608
3468500,2010,"0 TO 30,000",28588
3051400,2010,"0 TO 30,000",9612
100900,2010,"0 TO 30,000",8149
831000,2010,"0 TO 30,000",8752
233400,2010,"0 TO 30,000",17439
4021300,2010,"0 TO 30,000",6486
559900,2010,"0 TO 30,000",3111
163300,2010,"0 TO 30,000",18124
345800,2010,"0 TO 30,000",13147
3727600,2010,"0 TO 30,000",41625
3776300,2010,"0 TO 30,000",33210
648700,2010,"0 TO 30,000",15678
163400,2010,"0 TO 30,000",10403
354300,2010,"0 TO 30,000",12469
1201500,2010,"0 TO 30,000",5920
347800,2010,"0 TO 30,000",8027
737200,2010,"0 TO 30,000",13668
2297702,2010,"0 TO 30,000",5731
2297700,2010,"0 TO 30,000",5724
2297701,2010,"0 TO 30,000",5266
3075500,2010,"0 TO 30,000",5453
1162100,2010,"0 TO 30,000",41382
1162101,2010,"0 TO 30,000",34637
834300,2010,"0 TO 30,000",13380
2258600,2010,"0 TO 30,000",33840
1085800,2010,"0 TO 30,000",26652
2519800,2010,"0 TO 30,000",21520
3941300,2010,"0 TO 30,000",13784
3837300,2010,"0 TO 30,000",26862
2258400,2010,"0 TO 30,000",15480
4140700,2010,"0 TO 30,000",28842
4141000,2010,"0 TO 30,000",25692
4137800,2010,"0 TO 30,000",28864
2600900,2010,"0 TO 30,000",17928
2117800,2010,"0 TO 30,000",17256
2123200,2010,"0 TO 30,000",21790
3839300,2010,"0 TO 30,000",22792
4072300,2010,"0 TO 30,000",7769
4119400,2010,"0 TO 30,000",15696
4134800,2010,"0 TO 30,000",14340
987300,2010,"0 TO 30,000",13762
370200,2010,"0 TO 30,000",10847
4038400,2010,"0 TO 30,000",31176
3523300,2010,"0 TO 30,000",21519
3126300,2010,"0 TO 30,000",21693
3573300,2010,"0 TO 30,000",21615
3176300,2010,"0 TO 30,000",21656
3616300,2010,"0 TO 30,000",21438
3883400,2010,"0 TO 30,000",20399
3110700,2010,"0 TO 30,000",20894
3986300,2010,"0 TO 30,000",48036
244900,2010,"0 TO 30,000",16543
3160300,2010,"0 TO 30,000",5296
826300,2010,"0 TO 30,000",20616
462100,2010,"0 TO 30,000",22509
111700,2010,"0 TO 30,000",27147
212100,2010,"0 TO 30,000",18741
314700,2010,"0 TO 30,000",12280
4081300,2010,"0 TO 30,000",850
467300,2010,"0 TO 30,000",12020
467313,2010,"0 TO 30,000",14329
467317,2010,"0 TO 30,000",11621
467305,2010,"0 TO 30,000",12039
467301,2010,"0 TO 30,000",13184
467302,2010,"0 TO 30,000",11188
467309,2010,"0 TO 30,000",12402
467303,2010,"0 TO 30,000",12064
467304,2010,"0 TO 30,000",11250
467306,2010,"0 TO 30,000",11518
190300,2010,"0 TO 30,000",18702
111800,2010,"0 TO 30,000",2545
1226801,2010,"0 TO 30,000",14760
1226800,2010,"0 TO 30,000",15156
301400,2010,"0 TO 30,000",14165
178600,2010,"0 TO 30,000",7411
206100,2010,"0 TO 30,000",5406
3296300,2010,"0 TO 30,000",16534
2494700,2010,"0 TO 30,000",21350
