4189300,2012,"0 TO 30,000",12878
2324400,2012,"0 TO 30,000",4939
223600,2012,"0 TO 30,000",15822
223700,2012,"0 TO 30,000",1382
2290400,2012,"0 TO 30,000",7260
323300,2012,"0 TO 30,000",21840
383200,2012,"0 TO 30,000",13578
353900,2012,"0 TO 30,000",3696
354000,2012,"0 TO 30,000",4100
4124700,2012,"0 TO 30,000",23610
1081300,2012,"0 TO 30,000",12486
162800,2012,"0 TO 30,000",22642
4151500,2012,"0 TO 30,000",12039
746501,2012,"0 TO 30,000",34206
746500,2012,"0 TO 30,000",29207
1046000,2012,"0 TO 30,000",13382
4169900,2012,"0 TO 30,000",7340
1307400,2012,"0 TO 30,000",9485
3903400,2012,"0 TO 30,000",7712
3030802,2012,"0 TO 30,000",13141
3030800,2012,"0 TO 30,000",8791
4118700,2012,"0 TO 30,000",14224
2241801,2012,"0 TO 30,000",24916
2241800,2012,"0 TO 30,000",24106
3359300,2012,"0 TO 30,000",27176
3971300,2012,"0 TO 30,000",24485
2309100,2012,"0 TO 30,000",11761
765800,2012,"0 TO 30,000",9865
3144400,2012,"0 TO 30,000",10770
2303800,2012,"0 TO 30,000",6563
2289000,2012,"0 TO 30,000",9983
4176900,2012,"0 TO 30,000",13628
2199900,2012,"0 TO 30,000",14815
3534400,2012,"0 TO 30,000",21903
4016500,2012,"0 TO 30,000",10822
4148700,2012,"0 TO 30,000",17633
3962300,2012,"0 TO 30,000",10276
4136400,2012,"0 TO 30,000",14071
4060300,2012,"0 TO 30,000",7973
2317800,2012,"0 TO 30,000",18913
2106601,2012,"0 TO 30,000",12263
3706300,2012,"0 TO 30,000",13805
2106600,2012,"0 TO 30,000",12111
2113613,2012,"0 TO 30,000",18642
2113610,2012,"0 TO 30,000",18364
2113600,2012,"0 TO 30,000",17993
211400,2012,"0 TO 30,000",17796
274100,2012,"0 TO 30,000",38094
4159700,2012,"0 TO 30,000",23446
757200,2012,"0 TO 30,000",28447
372600,2012,"0 TO 30,000",16673
372610,2012,"0 TO 30,000",17344
372612,2012,"0 TO 30,000",18457
372609,2012,"0 TO 30,000",18457
1048907,2012,"0 TO 30,000",16685
372611,2012,"0 TO 30,000",16105
3819300,2012,"0 TO 30,000",8776
123200,2012,"0 TO 30,000",5876
1001000,2012,"0 TO 30,000",892
2601000,2012,"0 TO 30,000",10784
