OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
4163700,2011,8,23,17171,2146
4130800,2011,26,70,94050,3617
2541900,2011,57,50,377338,6620
163800,2011,606,9,1692341,2793
2137100,2011,181,89,1131250,6250
345900,2011,2459,61,16362462,6654
2052200,2011,1060,42,6404169,6042
163900,2011,464,78,2711055,5843
539000,2011,1608,48,6017975,3743
1218700,2011,15,33,48679,3245
3027200,2011,150,96,499966,3333
4003300,2011,270,58,1845731,6836
621401,2011,7,78,42170,6024
621402,2011,9,45,47974,5330
621403,2011,118,47,1018860,8634
354900,2011,4960,28,19378533,3907
259700,2011,1635,75,14743454,9017
331500,2011,5396,59,33459064,6201
3783300,2011,245,95,1592500,6500
3422601,2011,266,80,2023882,7609
3422501,2011,200,83,1658981,8295
3525300,2011,312,91,2392439,7668
3294301,2011,301,74,2314887,7691
3422600,2011,71,84,517439,7288
3294300,2011,453,81,3047709,6728
3422500,2011,247,97,443629,1796
552300,2011,45,74,348116,7736
239800,2011,455,85,881738,1938
318600,2011,681,25,4549461,6681
3957300,2011,1299,34,7224585,5562
968400,2011,152,6,1462016,9619
681900,2011,814,16,4442957,5458
3925300,2011,161,72,1262975,7845
3704300,2011,39,41,188830,4842
370300,2011,554,80,5306671,9579
380900,2011,1740,84,8683188,4990
524400,2011,6454,46,37590730,5824
301600,2011,805,80,6762012,8400
342100,2011,2177,66,3943853,1812
2234500,2011,109,61,384751,3530
161600,2011,9478,55,70108950,7397
3763400,2011,97,46,779452,8036
1004300,2011,221,86,1510324,6834
2358500,2011,28,48,180485,6446
1302900,2011,116,10,266491,2297
4137200,2011,12,39,66571,5548
2055400,2011,2256,35,14301896,6339
396600,2011,382,42,1571686,4114
3248300,2011,96,77,661831,6894
212800,2011,4071,42,21855135,5368
213000,2011,8182,44,57714284,7054
203800,2011,337,19,1966188,5834
206200,2011,3022,69,21551022,7131
301801,2011,1398,56,10712608,7663
301800,2011,10083,68,70355455,6978
972100,2011,569,97,3421120,6013
485300,2011,660,94,4697720,7118
164100,2011,3541,70,35120148,9918
2106800,2011,82,10,339070,4135
213300,2011,1853,55,11535374,6225
4128800,2011,55,87,311705,5667
2074004,2011,1268,74,6105811,4815
2074000,2011,742,75,4706212,6343
1085101,2011,1040,94,8305204,7986
1085102,2011,584,91,4648046,7959
1085100,2011,459,80,4011133,8739
2074002,2011,782,70,4996091,6389
2074003,2011,1099,72,5616640,5111
2074001,2011,927,77,5629182,6072
728700,2011,92,2,315835,3433
155600,2011,1251,69,11116823,8886
195800,2011,414,63,2808144,6783
291200,2011,437,68,3002946,6872
155700,2011,443,57,2607947,5887
184600,2011,844,79,5687914,6739
2075700,2011,1719,90,11758386,6840
618100,2011,80,50,435000,5438
370400,2011,1222,72,8380510,6858
218300,2011,4838,52,33972822,7022
160600,2011,549,19,1562488,2846
162500,2011,4606,31,24895117,5405
367000,2011,5580,18,34092259,6110
778100,2011,809,66,4879765,6032
491000,2011,582,64,3496613,6008
491001,2011,924,61,6598181,7141
2289800,2011,941,65,6571064,6983
743600,2011,1050,71,7239050,6894
3272303,2011,530,62,3960213,7472
2351901,2011,675,58,5176618,7669
749100,2011,895,63,5933637,6630
3115803,2011,481,57,3800536,7901
2083600,2011,690,63,4971775,7205
2326203,2011,600,80,5074599,8458
2091702,2011,343,63,2362635,6888
3272300,2011,298,56,2063085,6923
2052000,2011,743,68,5502657,7406
2591900,2011,816,57,6167083,7558
946610,2011,417,53,3089524,7409
2306302,2011,535,63,3691167,6899
2312202,2011,308,51,2517472,8174
2201802,2011,565,62,4322174,7650
2312200,2011,541,58,4205966,7774
977703,2011,585,61,4572949,7817
3115802,2011,321,57,2455007,7648
3043200,2011,821,59,6224184,7581
946607,2011,853,58,6206126,7276
2306300,2011,945,63,6587226,6971
2326200,2011,635,62,4551640,7168
2539100,2011,1178,68,8266197,7017
2549005,2011,534,60,3376442,6323
2539102,2011,484,56,3137376,6482
2351900,2011,611,63,4238294,6937
3115800,2011,907,63,6887269,7593
946600,2011,1003,58,7302150,7280
2091700,2011,1132,54,9393867,8298
1041000,2011,479,61,3783090,7898
2549000,2011,989,54,7540620,7624
217600,2011,1639,18,4761040,2905
3308300,2011,36,50,226762,6299
928400,2011,161,54,998681,6203
928401,2011,240,62,1484488,6185
1116603,2011,26,76,171927,6613
1116602,2011,242,85,2238192,9249
1116600,2011,596,85,5914763,9924
2256200,2011,129,68,887542,6880
2256201,2011,100,65,613274,6133
840400,2011,3147,20,12755213,4053
2100200,2011,831,7,5736202,6903
2218808,2011,812,75,6712289,8266
2218800,2011,2275,75,15110660,6642
2218804,2011,794,79,5955390,7500
2218805,2011,1234,73,8489628,6880
112300,2011,597,69,3771736,6318
2153600,2011,47,75,253350,5390
150000,2011,5678,14,32953767,5804
3626300,2011,85,39,672133,7907
3626301,2011,87,36,623174,7163
2060900,2011,204,74,604314,2962
512704,2011,1041,92,6803575,6536
945105,2011,256,90,1803091,7043
2110501,2011,771,90,5707189,7402
458304,2011,761,91,5271575,6927
512700,2011,1663,90,11741042,7060
2616200,2011,901,88,6504324,7219
458301,2011,1613,90,10955838,6792
945103,2011,672,98,4759726,7083
2616205,2011,218,81,1414390,6488
2616203,2011,1378,92,10069557,7307
675501,2011,548,91,3430674,6260
2616204,2011,1860,90,12821399,6893
512730,2011,678,90,4671573,6890
512727,2011,996,94,6665406,6692
512731,2011,462,91,3264154,7065
945101,2011,973,90,6592178,6775
512712,2011,730,89,5137448,7038
945102,2011,498,95,3214829,6455
512732,2011,314,92,1711299,5450
675500,2011,467,86,3095565,6629
458306,2011,59,69,457700,7758
458300,2011,1076,92,7431216,6906
945104,2011,237,94,1533291,6470
945100,2011,691,88,4816051,6970
458305,2011,351,93,2233332,6363
340100,2011,1606,25,10157131,6324
2543400,2011,270,76,1680160,6223
639900,2011,365,77,2776142,7606
353600,2011,671,57,3723372,5549
3399300,2011,731,77,7218657,9875
3066300,2011,495,83,3495743,7062
3066302,2011,309,85,2403051,7777
716400,2011,750,79,8698557,11598
3066200,2011,262,84,2233121,8523
267807,2011,795,94,5443701,6847
267801,2011,468,83,3306377,7065
267815,2011,383,98,3157140,8243
267800,2011,911,95,6666440,7318
267810,2011,990,99,7615231,7692
267809,2011,936,96,7650422,8174
267803,2011,404,96,3085415,7637
267816,2011,90,94,706040,7845
267804,2011,463,90,3547920,7663
267813,2011,1064,99,8419619,7913
267808,2011,820,96,6390112,7793
267812,2011,879,95,6718817,7644
267802,2011,2083,93,14477599,6950
267805,2011,714,93,4495820,6297
267806,2011,592,95,4159608,7026
267811,2011,728,87,5531784,7599
267814,2011,890,94,7154627,8039
340200,2011,2203,65,15867360,7203
322800,2011,88,45,462872,5260
323700,2011,668,52,4239874,6347
3930300,2011,14,28,46204,3300
2073300,2011,13,8,36000,2769
323800,2011,1571,45,9404506,5986
323900,2011,1731,16,7880619,4553
2270500,2011,73,68,402334,5511
184700,2011,2186,84,17757418,8123
1121000,2011,893,7,4323954,4842
2544300,2011,70,68,385209,5503
190600,2011,928,9,3421819,3687
324000,2011,1000,23,1992928,1993
2192100,2011,366,60,2253412,6157
178800,2011,2332,60,16614203,7124
790000,2011,40,59,239767,5994
807300,2011,1986,15,11894154,5989
647700,2011,273,63,1932526,7079
112400,2011,517,3,3221718,6232
324100,2011,1018,71,7066509,6942
335100,2011,760,78,5377601,7076
3914300,2011,146,51,748535,5127
483500,2011,1787,36,6660739,3727
259800,2011,1259,77,7482826,5943
112500,2011,2866,75,29856164,10417
2065700,2011,81,47,437545,5402
3974500,2011,23,16,137691,5987
884400,2011,13,65,95666,7359
112700,2011,818,58,7068558,8641
1186500,2011,140,37,895432,6396
3681300,2011,113,84,922531,8164
1215400,2011,88,97,1043909,11863
113100,2011,259,27,1109609,4284
113200,2011,594,65,4876704,8210
113300,2011,1614,63,11676718,7235
3935300,2011,101,35,642306,6359
114300,2011,5952,34,36590850,6148
114400,2011,6303,34,39749048,6306
799300,2011,2850,43,18672486,6552
3980300,2011,1464,40,9872720,6744
114600,2011,6269,42,35627771,5683
114100,2011,4423,40,25370101,5736
113800,2011,3280,32,24382748,7434
114700,2011,6222,35,38953337,6261
113700,2011,8255,28,53176663,6442
113900,2011,9094,33,55503931,6103
114000,2011,5020,31,31669078,6309
3260300,2011,2180,49,13493583,6190
115300,2011,10412,35,67032669,6438
115000,2011,9094,39,63790938,7015
114200,2011,6592,48,44428670,6740
3011300,2011,3325,38,22329831,6716
115700,2011,2802,40,18024050,6433
331600,2011,5711,77,37826221,6623
183400,2011,672,60,5049049,7513
245000,2011,167,59,1133242,6786
224100,2011,2238,57,14583288,6516
488901,2011,87,70,802251,9221
488900,2011,95,57,640626,6743
2182900,2011,762,57,6059508,7952
4083400,2011,481,97,2638406,5485
3842500,2011,138,33,778306,5640
3874300,2011,291,91,2623761,9016
686500,2011,3618,23,5642434,1560
3023500,2011,528,99,4940000,9356
3078400,2011,119,59,884522,7433
3921300,2011,200,45,1436361,7182
2234000,2011,65,38,127042,1954
315000,2011,2012,34,12618499,6272
291300,2011,2987,68,23358399,7820
195900,2011,1352,45,9377863,6936
697300,2011,89,1,555836,6245
268100,2011,2103,62,14232480,6768
893900,2011,117,90,409500,3500
959500,2011,110,76,385000,3500
2295500,2011,60,55,204937,3416
2140700,2011,66,46,260262,3943
216800,2011,406,9,1978097,4872
532000,2011,1764,19,12402843,7031
553200,2011,114,57,690939,6061
3267300,2011,7028,84,31185548,4437
1071000,2011,308,90,2171891,7052
763500,2011,182,4,987723,5427
302300,2011,1892,69,13675883,7228
961700,2011,68,41,386432,5683
143600,2011,180,52,1231049,6839
1308800,2011,106,64,767197,7238
1308800,2011,59,70,446364,7565
2090300,2011,219,63,1381468,6308
771700,2011,155,54,990802,6392
758800,2011,169,57,995254,5889
2056400,2011,245,68,1535496,6267
2265500,2011,127,49,935120,7363
907800,2011,201,47,1546637,7695
2183600,2011,120,49,796483,6637
2103700,2011,141,39,994411,7053
3019900,2011,99,81,328164,3315
4066300,2011,52,95,284797,5477
383700,2011,2271,76,19019252,8375
4138500,2011,35,44,252871,7225
2125000,2011,164,50,941623,5742
2341700,2011,237,42,896457,3783
3841300,2011,13,30,66083,5083
3797400,2011,973,80,4505821,4631
2117400,2011,73,37,418931,5739
4119200,2011,46,37,221117,4807
2621500,2011,761,71,4793164,6299
4144200,2011,25,9,213888,8556
3242300,2011,649,58,6095294,9392
2591101,2011,247,49,550363,2228
2591100,2011,1909,94,13057200,6840
3915301,2011,267,70,1834048,6869
3915300,2011,612,55,3467299,5666
4125600,2011,85,96,297500,3500
2606800,2011,718,93,6804446,9477
2606801,2011,328,91,3084416,9404
3104300,2011,544,90,5886033,10820
3098600,2011,90,71,626252,6958
2609500,2011,106,64,397978,3755
2609501,2011,72,59,344927,4791
2609502,2011,65,60,272361,4190
3463300,2011,135,75,1507619,11168
1252500,2011,345,17,1241312,3598
1252503,2011,140,18,492346,3517
1252502,2011,409,30,1442393,3527
1252501,2011,121,20,414644,3427
317600,2011,469,18,1751190,3734
726500,2011,221,9,630302,2852
