OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
NULL,2013,NULL,NULL,NULL,
211500,2013,240,13,1372357,5718
2503400,2013,251,76,1852285,7380
182300,2013,NULL,NULL,NULL,
178400,2013,328,74,2224872,6783
178500,2013,1452,71,12493507,8604
341800,2013,1591,61,11932516,7500
211600,2013,NULL,NULL,NULL,
154500,2013,254,87,1579902,6220
223800,2013,1093,56,9521893,8712
4160400,2013,113,63,960925,8504
4164400,2013,217,84,2352332,10840
666100,2013,0,0,0,
354100,2013,3333,55,24506374,7353
211700,2013,818,79,6016724,7355
205800,2013,2882,16,15350527,5326
4191300,2013,12,86,190356,15863
735000,2013,1319,60,9842786,7462
233200,2013,3715,39,25265190,6801
111300,2013,2326,17,16112580,6927
2234900,2013,0,0,0,
NULL,2013,0,0,0,
301002,2013,136,41,1403743,10322
301000,2013,99,85,509723,5149
301004,2013,NULL,NULL,NULL,
301003,2013,124,84,972211,7840
301005,2013,189,83,1985993,10508
803100,2013,NULL,NULL,NULL,
1289100,2013,242,91,2567855,10611
1289102,2013,324,98,3327389,10270
1289101,2013,400,76,3600661,9002
743000,2013,148,85,1148350,7759
3067000,2013,106,68,682384,6438
3156400,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
961200,2013,3,23,18520,6173
3513400,2013,680,93,7528126,11071
751800,2013,1372,56,8567804,6245
2562300,2013,156,12,811074,5199
2159100,2013,0,0,0,
754400,2013,83,29,380329,4582
4180600,2013,NULL,NULL,NULL,
3559300,2013,NULL,NULL,NULL,
290600,2013,7222,46,46116947,6386
3068600,2013,203,98,1847807,9102
223900,2013,1344,70,10195475,7586
347700,2013,381,69,1762242,4625
163200,2013,NULL,NULL,NULL,
134600,2013,4504,38,21848843,4851
323500,2013,1839,78,13064671,7104
2179902,2013,358,81,2872098,8023
2179936,2013,244,78,1788937,7332
2179919,2013,116,70,929464,8013
2179930,2013,80,75,701973,8775
2179905,2013,99,57,872965,8818
2179932,2013,287,78,2425509,8451
2179928,2013,193,70,1451015,7518
2179914,2013,141,82,1109742,7871
2179900,2013,163,68,1432892,8791
2179907,2013,135,71,1154227,8550
2179907,2013,5171,65,42094126,8140
2179935,2013,111,85,921995,8306
2179929,2013,95,44,906298,9540
2179908,2013,116,79,1081822,9326
2179918,2013,101,78,876738,8681
2179921,2013,93,63,790592,8501
